Feature,Importance
num__fare,0.25813277029249115
num__age,0.2432462848581324
cat__sex_male,0.14472564840447802
cat__sex_female,0.1309838596429527
num__pclass,0.07918206189371671
num__FamilySize,0.04831817382054671
num__sibsp,0.02707446970809309
num__parch,0.022951755322470818
cat__embarked_S,0.015176720703093751
cat__embarked_C,0.011904427661223247
num__IsAlone,0.01133926304932401
cat__embarked_Q,0.006964564643477494
