Metric,Before SMOTE,After SMOTE
Accuracy,0.8069552874378992,0.7395315826827538
Precision,0.6583850931677019,0.505922165820643
Recall,0.5668449197860963,0.7994652406417112
F1 Score,0.6091954022988506,0.6196891191709845
